old_symbol	new_symbol
CLEC11A	CLEC11A
P47	CLEC11A
LSLCL	CLEC11A
CLECSF3	CLEC11A
SCGF	CLEC11A
CLEC12A	CLEC12A
CLL-1	CLEC12A
MICL	CLEC12A
CD371	CLEC12A
DCAL-2	CLEC12A
CLEC12B	CLEC12B
CLEC14A	CLEC14A
C14orf27	CLEC14A
CLEC16A	CLEC16A
Gop-1	CLEC16A
KIAA0350	CLEC16A
CLEC17A	CLEC17A
FLJ45910	CLEC17A
CLEC18A	CLEC18A
MRCL	CLEC18A
CLEC18B	CLEC18B
MRCL2	CLEC18B
CLEC18C	CLEC18C
MGC34761	CLEC18C
MRCL3	CLEC18C
CLEC19A	CLEC19A
CLEC20A	CLEC20A
FLJ44005	CLEC20A
RP4-593C16.2	CLEC20A
NCRNA00083	CLEC20A
LINC00083	CLEC20A
CLECL1	CLECL1
DCAL1	CLECL1
CLGN	CLGN
CLHC1	CLHC1
FLJ31438	CLHC1
C2orf63	CLHC1
CLIC1	CLIC1
NCC27	CLIC1
p64CLCP	CLIC1
G6	CLIC1
CLIC2	CLIC2
XAP121	CLIC2
CLIC3	CLIC3
CLIC4	CLIC4
DKFZP566G223	CLIC4
CLIC4L	CLIC4
P64H1	CLIC4
H1	CLIC4
huH1	CLIC4
p64H1	CLIC4
CLIC5	CLIC5
DFNB102	CLIC5
CLIC6	CLIC6
CLIC5	CLIC6
CLIC1L	CLIC6
CLINT1	CLINT1
ENTH	CLINT1
KIAA0171	CLINT1
EPNR	CLINT1
CLINT	CLINT1
CLIP1	CLIP1
CYLN1	CLIP1
CLIP170	CLIP1
CLIP	CLIP1
CLIP-170	CLIP1
RSN	CLIP1
CLIP2	CLIP2
CLIP-115	CLIP2
KIAA0291	CLIP2
WSCR4	CLIP2
CLIP	CLIP2
WSCR3	CLIP2
WBSCR4	CLIP2
CYLN2	CLIP2
WBSCR3	CLIP2
CLIP3	CLIP3
CLIPR-59	CLIP3
RSNL1	CLIP3
CLIP4	CLIP4
FLJ21069	CLIP4
RSNL2	CLIP4
CLK1	CLK1
CLK2	CLK2
clk2	CLK2
CLK3	CLK3
clk3	CLK3
CLK4	CLK4
CLLU1OS	CLLU1OS
CLMN	CLMN
FLJ12383	CLMN
KIAA1188	CLMN
KIAA0500	CLMN
CLMP	CLMP
ASAM	CLMP
FLJ22415	CLMP
ACAM	CLMP
CLN3	CLN3
JNCL	CLN3
BTN1	CLN3
BTS	CLN3
CLN5	CLN5
CLN6	CLN6
FLJ20561	CLN6
HsT18960	CLN6
nclf	CLN6
CLN8	CLN8
FLJ39417	CLN8
EPMR	CLN8
C8orf61	CLN8
CLNK	CLNK
MIST	CLNK
CLNS1A	CLNS1A
ICln	CLNS1A
CLCI	CLNS1A
CLOCK	CLOCK
KIAA0334	CLOCK
KAT13D	CLOCK
bHLHe8	CLOCK
CLP1	CLP1
HEAB	CLP1
hClp1	CLP1
CLPB	CLPB
HSP78	CLPB
SKD3	CLPB
FLJ13152	CLPB
ANKCLB	CLPB
CLPP	CLPP
CLPS	CLPS
CLPSL1	CLPSL1
dJ510O8.6	CLPSL1
C6orf127	CLPSL1
CLPSL2	CLPSL2
dJ510O8.5	CLPSL2
UNQ3045	CLPSL2
C6orf126	CLPSL2
CLPTM1	CLPTM1
CLPTM1L	CLPTM1L
FLJ14400	CLPTM1L
CRR9	CLPTM1L
CLPX	CLPX
CLRN1	CLRN1
USH3	CLRN1
USH3A	CLRN1
RP61	CLRN1
CLRN2	CLRN2
CLRN3	CLRN3
MGC32871	CLRN3
USH3AL1	CLRN3
TMEM12	CLRN3
CLSPN	CLSPN
CLSTN1	CLSTN1
CSTN1	CLSTN1
KIAA0911	CLSTN1
CDHR12	CLSTN1
CLSTN2	CLSTN2
CSTN2	CLSTN2
CS2	CLSTN2
FLJ39113	CLSTN2
CDHR13	CLSTN2
CLSTN3	CLSTN3
CSTN3	CLSTN3
KIAA0726	CLSTN3
CDHR14	CLSTN3
CLTA	CLTA
Lca	CLTA
CLTB	CLTB
Lcb	CLTB
CLTC	CLTC
Hc	CLTC
CLTCL2	CLTC
CLTCL1	CLTCL1
CLTD	CLTCL1
CLH22	CLTCL1
CHC22	CLTCL1
CLTCL	CLTCL1
CLTRN	CLTRN
NX17	CLTRN
TMEM27	CLTRN
CLU	CLU
SGP-2	CLU
SP-40	CLU
TRPM-2	CLU
KUB1	CLU
CLU1	CLU
CLU2	CLU
CLI	CLU
APOJ	CLU
CLUAP1	CLUAP1
FLJ13297	CLUAP1
KIAA0643	CLUAP1
FAP22	CLUAP1
CFAP22	CLUAP1
IFT38	CLUAP1
CLUH	CLUH
CLU1	CLUH
KIAA0664	CLUH
CLUL1	CLUL1
CLVS1	CLVS1
MGC34646	CLVS1
CRALBPL	CLVS1
C6orf212L	CLVS1
RLBP1L1	CLVS1
CLVS2	CLVS2
bA160A10.4	CLVS2
C6orf212	CLVS2
C6orf213	CLVS2
RLBP1L2	CLVS2
CLYBL	CLYBL
CLB	CLYBL
CMA1	CMA1
CMAS	CMAS
CMBL	CMBL
FLJ23617	CMBL
CMC1	CMC1
MGC61571	CMC1
C3orf68	CMC1
CMC2	CMC2
DC13	CMC2
MGC45036	CMC2
C16orf61	CMC2
CMC4	CMC4
P8MTCP1	CMC4
p8	CMC4
MTCP1	CMC4
MTCP1NB	CMC4
CMIP	CMIP
CMKLR1	CMKLR1
RVER1	CMKLR1
CMPK1	CMPK1
UMP-CMPK	CMPK1
CMPK	CMPK1
CMPK2	CMPK2
TYKi	CMPK2
UMP-CMPK2	CMPK2
NDK	CMPK2
CMSS1	CMSS1
MGC4308	CMSS1
C3orf26	CMSS1
CMTM1	CMTM1
CKLFH1a	CMTM1
CKLFH	CMTM1
CKLFSF1	CMTM1
CMTM2	CMTM2
MGC39436	CMTM2
FLJ25732	CMTM2
CKLFSF2	CMTM2
CMTM3	CMTM3
FLJ31762	CMTM3
BNAS2	CMTM3
CKLFSF3	CMTM3
CMTM4	CMTM4
CKLFSF4	CMTM4
CMTM5	CMTM5
FLJ37521	CMTM5
CKLFSF5	CMTM5
CMTM6	CMTM6
FLJ20396	CMTM6
CKLFSF6	CMTM6
CMTM7	CMTM7
FLJ30992	CMTM7
CKLFSF7	CMTM7
CMTM8	CMTM8
CKLFSF8	CMTM8
CMTR1	CMTR1
MTr1	CMTR1
ISG95	CMTR1
KIAA0082	CMTR1
FTSJD2	CMTR1
CMTR2	CMTR2
FLJ11171	CMTR2
AFT	CMTR2
MTr2	CMTR2
FTSJD1	CMTR2
CMYA5	CMYA5
SPRYD2	CMYA5
DKFZp451G223	CMYA5
TRIM76	CMYA5
C5orf10	CMYA5
CNBD1	CNBD1
FLJ35802	CNBD1
CNBD2	CNBD2
dJ954P9.1	CNBD2
C20orf152	CNBD2
CNMPD1	CNBD2
CNBP	CNBP
RNF163	CNBP
ZCCHC22	CNBP
CNBP1	CNBP
DM2	CNBP
ZNF9	CNBP
CNDP1	CNDP1
MGC10825	CNDP1
CN1	CNDP1
CPGL2	CNDP1
HsT2308	CNDP1
CNDP2	CNDP2
FLJ10830	CNDP2
CN2	CNDP2
HsT2298	CNDP2
CPGL	CNDP2
PEPA	CNDP2
CNEP1R1	CNEP1R1
FLJ38101	CNEP1R1
NEP1-R1	CNEP1R1
C16orf69	CNEP1R1
TMEM188	CNEP1R1
CNFN	CNFN
PLAC8L2	CNFN
CNGA1	CNGA1
RCNC1	CNGA1
RCNCa	CNGA1
CNG1	CNGA1
RP49	CNGA1
CNCG1	CNGA1
CNCG	CNGA1
CNGA2	CNGA2
CNG2	CNGA2
OCNC1	CNGA2
OCNCa	CNGA2
OCNCALPHA	CNGA2
OCNCalpha	CNGA2
FLJ46312	CNGA2
CNCA1	CNGA2
CNCA	CNGA2
CNGA3	CNGA3
CCNC1	CNGA3
CCNCa	CNGA3
CNG3	CNGA3
CNCG3	CNGA3
ACHM2	CNGA3
CNGA4	CNGA4
OCNC2	CNGA4
OCNCb	CNGA4
CNG5	CNGA4
CNCA2	CNGA4
CNGB2	CNGA4
CNGB1	CNGB1
RCNC2	CNGB1
RCNCb	CNGB1
GARP	CNGB1
GAR1	CNGB1
CNGB1B	CNGB1
RP45	CNGB1
CNCG2	CNGB1
CNCG3L	CNGB1
CNGB3	CNGB3
ACHM3	CNGB3
ACHM1	CNGB3
RMCH	CNGB3
CNIH1	CNIH1
TGAM77	CNIH1
CNIL	CNIH1
CNIH	CNIH1
CNIH2	CNIH2
MGC50896	CNIH2
Cnil	CNIH2
CNIH-2	CNIH2
CNIH3	CNIH3
FLJ38993	CNIH3
CNIH-3	CNIH3
CNIH4	CNIH4
HSPC163	CNIH4
CNKSR1	CNKSR1
CNK1	CNKSR1
KSR	CNKSR1
CNK	CNKSR1
CNKSR2	CNKSR2
KIAA0902	CNKSR2
CNK2	CNKSR2
KSR2	CNKSR2
CNKSR3	CNKSR3
FLJ31349	CNKSR3
MAGI1	CNKSR3
CNMD	CNMD
CHM-I	CNMD
CHM1	CNMD
BRICD3	CNMD
MYETS1	CNMD
LECT1	CNMD
CNN1	CNN1
SMCC	CNN1
Sm-Calp	CNN1
CNN2	CNN2
CNN3	CNN3
CNNM1	CNNM1
ACDP1	CNNM1
CNNM2	CNNM2
ACDP2	CNNM2
CNNM3	CNNM3
ACDP3	CNNM3
CNNM4	CNNM4
KIAA1592	CNNM4
ACDP4	CNNM4
CNOT1	CNOT1
CDC39	CNOT1
NOT1H	CNOT1
KIAA1007	CNOT1
AD-005	CNOT1
NOT1	CNOT1
CNOT2	CNOT2
CDC36	CNOT2
NOT2H	CNOT2
NOT2	CNOT2
CNOT3	CNOT3
NOT3H	CNOT3
KIAA0691	CNOT3
LENG2	CNOT3
NOT3	CNOT3
CNOT4	CNOT4
CLONE243	CNOT4
NOT4H	CNOT4
NOT4	CNOT4
CNOT6	CNOT6
CCR4	CNOT6
KIAA1194	CNOT6
Ccr4a	CNOT6
CNOT6L	CNOT6L
DKFZp434K098	CNOT6L
Ccr4b	CNOT6L
CNOT7	CNOT7
CAF1	CNOT7
CNOT8	CNOT8
CAF1	CNOT8
hCAF1	CNOT8
CALIF	CNOT8
POP2	CNOT8
CNOT9	CNOT9
RCD1	CNOT9
RCD1+	CNOT9
CT129	CNOT9
CAF40	CNOT9
RQCD1	CNOT9
CNOT10	CNOT10
FLJ12890	CNOT10
FLJ13165	CNOT10
CNOT11	CNOT11
C40	CNOT11
C2orf29	CNOT11
CNP	CNP
CNPPD1	CNPPD1
CGI-57	CNPPD1
C2orf24	CNPPD1
CNPY1	CNPY1
CNPY2	CNPY2
HP10390	CNPY2
ZSIG9	CNPY2
Cnpy2	CNPY2
TMEM4	CNPY2
CNPY3	CNPY3
CAG4A	CNPY3
TNRC5	CNPY3
CNPY4	CNPY4
MGC40499	CNPY4
PRAT4B	CNPY4
CNR1	CNR1
CB1K5	CNR1
CB-R	CNR1
CB1	CNR1
CANN6	CNR1
CB1A	CNR1
CNR	CNR1
CNR2	CNR2
CB2	CNR2
CNRIP1	CNRIP1
DKFZP566K1924	CNRIP1
CRIP1	CNRIP1
CRIP1a	CNRIP1
CRIP1b	CNRIP1
C2orf32	CNRIP1
CNST	CNST
FLJ32001	CNST
PPP1R64	CNST
C1orf71	CNST
CNTD1	CNTD1
FLJ40137	CNTD1
CNTD	CNTD1
CNTD2	CNTD2
FLJ13265	CNTD2
CCNP	CNTD2
CNTF	CNTF
HCNTF	CNTF
CNTFR	CNTFR
CNTLN	CNTLN
FLJ20276	CNTLN
bA340N12.1	CNTLN
OTTHUMG00000019597	CNTLN
C9orf101	CNTLN
C9orf39	CNTLN
CNTN1	CNTN1
F3	CNTN1
GP135	CNTN1
CNTN2	CNTN2
TAG-1	CNTN2
TAX1	CNTN2
TAX	CNTN2
AXT	CNTN2
CNTN3	CNTN3
BIG-1	CNTN3
PANG	CNTN3
CNTN4	CNTN4
BIG-2	CNTN4
CNTN5	CNTN5
NB-2	CNTN5
hNB-2	CNTN5
CNTN6	CNTN6
NB-3	CNTN6
CNTNAP1	CNTNAP1
p190	CNTNAP1
Caspr	CNTNAP1
CNTNAP	CNTNAP1
NRXN4	CNTNAP1
CNTNAP2	CNTNAP2
Caspr2	CNTNAP2
KIAA0868	CNTNAP2
NRXN4	CNTNAP2
CNTNAP3	CNTNAP3
CASPR3	CNTNAP3
KIAA1714	CNTNAP3
FLJ14195	CNTNAP3
CNTNAP3A	CNTNAP3
CNTNAP3B	CNTNAP3B
CNTNAP3C	CNTNAP3C
CNTNAP4	CNTNAP4
CASPR4	CNTNAP4
KIAA1763	CNTNAP4
CNTNAP5	CNTNAP5
caspr5	CNTNAP5
FLJ31966	CNTNAP5
CNTRL	CNTRL
CEP1	CNTRL
CEP110	CNTRL
CNTROB	CNTROB
LIP8	CNTROB
PP1221	CNTROB
COA1	COA1
FLJ10803	COA1
MITRAC15	COA1
C7orf44	COA1
COA3	COA3
HSPC009	COA3
MITRAC12	COA3
COX25	COA3
CCDC56	COA3
COA4	COA4
E2IG2	COA4
CMC3	COA4
CHCHD8	COA4
COA5	COA5
MGC52110	COA5
FLJ27524	COA5
Pet191	COA5
C2orf64	COA5
COA6	COA6
C1orf31	COA6
COA7	COA7
FLJ12439	COA7
RESA1	COA7
C1orf163	COA7
SELRC1	COA7
COASY	COASY
DPCK	COASY
NBP	COASY
CoASY	COASY
PPAT	COASY
COBL	COBL
KIAA0633	COBL
COBLL1	COBLL1
KIAA0977	COBLL1
COCH	COCH
COCH-5B2	COCH
DFNA31	COCH
DFNA9	COCH
COG1	COG1
KIAA1381	COG1
LDLB	COG1
COG2	COG2
LDLC	COG2
COG3	COG3
SEC34	COG3
COG4	COG4
COD1	COG4
DKFZP586E1519	COG4
COG5	COG5
GTC90	COG5
GOLTC1	COG5
COG6	COG6
COD2	COG6
KIAA1134	COG6
COG7	COG7
COG8	COG8
FLJ22315	COG8
DOR1	COG8
COIL	COIL
CLN80	COIL
p80-coilin	COIL
COL1A1	COL1A1
OI4	COL1A1
COL1A2	COL1A2
OI4	COL1A2
COL2A1	COL2A1
STL1	COL2A1
SEDC	COL2A1
AOM	COL2A1
COL3A1	COL3A1
EDS4A	COL3A1
COL4A1	COL4A1
COL4A2	COL4A2
FLJ22259	COL4A2
DKFZp686I14213	COL4A2
COL4A3	COL4A3
COL4A3BP	COL4A3BP
GPBP	COL4A3BP
STARD11	COL4A3BP
CERT	COL4A3BP
COL4A4	COL4A4
CA44	COL4A4
COL4A5	COL4A5
ASLN	COL4A5
ATS	COL4A5
COL4A6	COL4A6
COL5A1	COL5A1
COL5A2	COL5A2
COL5A3	COL5A3
COL6A1	COL6A1
COL6A2	COL6A2
COL6A3	COL6A3
COL6A5	COL6A5
FLJ35880	COL6A5
VWA4	COL6A5
COL29A1	COL6A5
COL6A6	COL6A6
COL7A1	COL7A1
EBDCT	COL7A1
EBD1	COL7A1
EBR1	COL7A1
COL8A1	COL8A1
MGC9568	COL8A1
C3orf7	COL8A1
COL8A2	COL8A2
PPCD	COL8A2
FECD1	COL8A2
PPCD2	COL8A2
FECD	COL8A2
COL9A1	COL9A1
COL9A2	COL9A2
MED	COL9A2
EDM2	COL9A2
COL9A3	COL9A3
IDD	COL9A3
MED	COL9A3
EDM3	COL9A3
FLJ90759	COL9A3
DJ885L7.4.1	COL9A3
COL10A1	COL10A1
COL11A1	COL11A1
STL2	COL11A1
CO11A1	COL11A1
COLL6	COL11A1
COL11A2	COL11A2
HKE5	COL11A2
DFNA13	COL11A2
DFNB53	COL11A2
COL12A1	COL12A1
COL12A1L	COL12A1
COL13A1	COL13A1
COL14A1	COL14A1
UND	COL14A1
COL15A1	COL15A1
COL16A1	COL16A1
COL17A1	COL17A1
BP180	COL17A1
BPAG2	COL17A1
COL18A1	COL18A1
KS	COL18A1
KNO1	COL18A1
KNO	COL18A1
COL19A1	COL19A1
COL20A1	COL20A1
KIAA1510	COL20A1
COL21A1	COL21A1
COL22A1	COL22A1
COL23A1	COL23A1
DKFZp434K0621	COL23A1
COL24A1	COL24A1
COL25A1	COL25A1
COL26A1	COL26A1
Emu2	COL26A1
EMI6	COL26A1
EMID2	COL26A1
COL27A1	COL27A1
KIAA1870	COL27A1
MGC11337	COL27A1
FLJ11895	COL27A1
COL28A1	COL28A1
COLCA2	COLCA2
CASC13	COLCA2
C11orf93	COLCA2
COLEC10	COLEC10
CL-L1	COLEC10
COLEC11	COLEC11
MGC3279	COLEC11
CL-K1	COLEC11
COLEC12	COLEC12
SRCL	COLEC12
CL-P1	COLEC12
SCARA4	COLEC12
COLGALT1	COLGALT1
FLJ22329	COLGALT1
GLT25D1	COLGALT1
COLGALT2	COLGALT2
KIAA0584	COLGALT2
C1orf17	COLGALT2
GLT25D2	COLGALT2
COLQ	COLQ
EAD	COLQ
COMMD1	COMMD1
MURR1	COMMD1
MGC27155	COMMD1
C2orf5	COMMD1
COMMD2	COMMD2
HSPC042	COMMD2
COMMD3	COMMD3
BUP	COMMD3
C10orf8	COMMD3
COMMD4	COMMD4
FLJ20452	COMMD4
COMMD5	COMMD5
HT002	COMMD5
FLJ13008	COMMD5
HCaRG	COMMD5
COMMD6	COMMD6
Acrg	COMMD6
COMMD7	COMMD7
dJ1085F17.3	COMMD7
C20orf92	COMMD7
COMMD8	COMMD8
FLJ20502	COMMD8
COMMD9	COMMD9
HSPC166	COMMD9
FLJ31106	COMMD9
COMMD10	COMMD10
PTD002	COMMD10
COMP	COMP
MED	COMP
THBS5	COMP
PSACH	COMP
EDM1	COMP
EPD1	COMP
COMT	COMT
COMTD1	COMTD1
FLJ23841	COMTD1
COP1	COP1
FLJ10416	COP1
RNF200	COP1
RFWD2	COP1
COPA	COPA
HEP-COP	COPA
COPB1	COPB1
COPB	COPB1
COPB2	COPB2
beta'-COP	COPB2
betaprime-COP	COPB2
COPE	COPE
epsilon-COP	COPE
COPG1	COPG1
COPG	COPG1
COPG2	COPG2
2-COP	COPG2
COPRS	COPRS
TTP1	COPRS
HSA272196	COPRS
COPR5	COPRS
C17orf79	COPRS
COPS2	COPS2
TRIP15	COPS2
ALIEN	COPS2
CSN2	COPS2
COPS3	COPS3
SGN3	COPS3
CSN3	COPS3
COPS4	COPS4
CSN4	COPS4
COPS5	COPS5
JAB1	COPS5
SGN5	COPS5
MOV-34	COPS5
CSN5	COPS5
COPS6	COPS6
MOV34-34KD	COPS6
CSN6	COPS6
COPS7A	COPS7A
CSN7A	COPS7A
COPS7B	COPS7B
CSN7B	COPS7B
COPS8	COPS8
COP9	COPS8
CSN8	COPS8
MGC1297	COPS8
SGN8	COPS8
COPS9	COPS9
CSNAP	COPS9
MYEOV2	COPS9
COPZ1	COPZ1
CGI-120	COPZ1
COPZ	COPZ1
COPZ2	COPZ2
MGC23008	COPZ2
COQ2	COQ2
CL640	COQ2
FLJ26072	COQ2
COQ3	COQ3
bA9819.1	COQ3
COQ4	COQ4
CGI-92	COQ4
COQ5	COQ5
MGC4767	COQ5
COQ6	COQ6
CGI-10	COQ6
COQ7	COQ7
CLK-1	COQ7
CAT5	COQ7
COQ8A	COQ8A
COQ8	COQ8A
SCAR9	COQ8A
CABC1	COQ8A
ADCK3	COQ8A
COQ8B	COQ8B
FLJ12229	COQ8B
COQ8	COQ8B
ADCK4	COQ8B
COQ9	COQ9
DKFZP434K046	COQ9
C16orf49	COQ9
COQ10A	COQ10A
FLJ32452	COQ10A
COQ10B	COQ10B
FLJ13448	COQ10B
CORIN	CORIN
PRSC	CORIN
CRN	CORIN
ATC2	CORIN
Lrp4	CORIN
TMPRSS10	CORIN
CORO1A	CORO1A
HCORO1	CORO1A
p57	CORO1A
coronin-1	CORO1A
CORO1B	CORO1B
coronin-2	CORO1B
CORO1C	CORO1C
coronin-3	CORO1C
HCRNN4	CORO1C
CORO2A	CORO2A
IR10	CORO2A
WDR2	CORO2A
CORO2B	CORO2B
ClipinC	CORO2B
KIAA0925	CORO2B
CORO6	CORO6
FLJ14871	CORO6
CORO7	CORO7
FLJ22021	CORO7
CORT	CORT
MGC32686	CORT
COTL1	COTL1
CLP	COTL1
COX4I1	COX4I1
COX4-1	COX4I1
COX4	COX4I1
COX4I2	COX4I2
COXIV-2	COX4I2
COX4B	COX4I2
dJ857M17.2	COX4I2
COX4-2	COX4I2
COX4L2	COX4I2
COX5A	COX5A
COX5B	COX5B
COX6A1	COX6A1
COX6A	COX6A1
COX6A2	COX6A2
COX6B1	COX6B1
COXG	COX6B1
COX6B	COX6B1
COX6B2	COX6B2
COXVIB2	COX6B2
FLJ32865	COX6B2
CT59	COX6B2
COX6C	COX6C
COX7A1	COX7A1
COX7AH	COX7A1
COX7A	COX7A1
COX7A2	COX7A2
COXVIIa-L	COX7A2
COX7AL	COX7A2
COX7A2L	COX7A2L
EB1	COX7A2L
COX7RP	COX7A2L
COX7AR	COX7A2L
SIG81	COX7A2L
COX7B	COX7B
COX7B2	COX7B2
COX7C	COX7C
COX8A	COX8A
COX8-2	COX8A
COX8L	COX8A
VIII-L	COX8A
COX	COX8A
VIII	COX8A
COX8	COX8A
COX8C	COX8C
COX8-3	COX8C
COX10	COX10
COX11	COX11
COX11P	COX11
COX14	COX14
MGC14288	COX14
C12orf62	COX14
COX15	COX15
CEMCOX2	COX15
COX16	COX16
HSPC203	COX16
C14orf112	COX16
COX17	COX17
COX18	COX18
FLJ38991	COX18
COX19	COX19
MGC104475	COX19
COX20	COX20
FLJ43269	COX20
FAM36A	COX20
CP	CP
CPA1	CPA1
CPA	CPA1
CPA2	CPA2
CPA3	CPA3
CPA4	CPA4
CPA3	CPA4
CPA5	CPA5
CPA6	CPA6
CPAH	CPA6
CPAMD8	CPAMD8
KIAA1283	CPAMD8
VIP	CPAMD8
K-CAP	CPAMD8
CPB1	CPB1
CPB2	CPB2
CPU	CPB2
PCPB	CPB2
TAFI	CPB2
CPD	CPD
GP180	CPD
CPE	CPE
CPEB1	CPEB1
FLJ13203	CPEB1
CPEB	CPEB1
CPEB2	CPEB2
CPEB3	CPEB3
KIAA0940	CPEB3
CPEB4	CPEB4
KIAA1673	CPEB4
CPED1	CPED1
FLJ21986	CPED1
C7orf58	CPED1
CPLANE1	CPLANE1
FLJ13231	CPLANE1
JBTS17	CPLANE1
Hug	CPLANE1
C5orf42	CPLANE1
CPLANE2	CPLANE2
MGC10731	CPLANE2
C1orf89	CPLANE2
RSG1	CPLANE2
CPLX1	CPLX1
CPX-I	CPLX1
CPLX2	CPLX2
CPX-2	CPLX2
DKFZp547D155	CPLX2
CPLX3	CPLX3
CPX-III	CPLX3
CPLX4	CPLX4
CPX-IV	CPLX4
CPM	CPM
CPN1	CPN1
CPN2	CPN2
ACBP	CPN2
CPNE1	CPNE1
CPN1	CPNE1
CPNE2	CPNE2
CPN2	CPNE2
CPNE3	CPNE3
CPNE4	CPNE4
COPN4	CPNE4
CPN4	CPNE4
CPNE5	CPNE5
CPN5	CPNE5
COPN5	CPNE5
KIAA1599	CPNE5
CPNE6	CPNE6
CPNE7	CPNE7
CPNE8	CPNE8
CPNE9	CPNE9
KIAA4217	CPNE9
CPO	CPO
CPOX	CPOX
CPX	CPOX
HCP	CPOX
CPO	CPOX
CPPED1	CPPED1
CSTP1	CPPED1
FLJ11151	CPPED1
CPQ	CPQ
LDP	CPQ
PGCP	CPQ
CPS1	CPS1
CPSF1	CPSF1
CPSF160	CPSF1
CPSF2	CPSF2
KIAA1367	CPSF2
CPSF100	CPSF2
CPSF3	CPSF3
CPSF-73	CPSF3
CPSF73	CPSF3
YSH1	CPSF3
CPSF4	CPSF4
NAR	CPSF4
CPSF30	CPSF4
CPSF4L	CPSF4L
CPSF6	CPSF6
CFIM	CPSF6
HPBRII-4	CPSF6
HPBRII-7	CPSF6
CFIM68	CPSF6
CFIM72	CPSF6
CPSF7	CPSF7
FLJ12529	CPSF7
CFIM59	CPSF7
CPT1A	CPT1A
CPT1-L	CPT1A
L-CPT1	CPT1A
CPT1	CPT1A
CPT1B	CPT1B
M-CPT1	CPT1B
CPT1-M	CPT1B
CPT1C	CPT1C
FLJ23809	CPT1C
CPTIC	CPT1C
CPT1P	CPT1C
CPT2	CPT2
CPTASE	CPT2
CPT1	CPT2
CPTP	CPTP
MGC10334	CPTP
GLTPD1	CPTP
CPVL	CPVL
CPXCR1	CPXCR1
CT77	CPXCR1
CPXM1	CPXM1
CPX-1	CPXM1
CPX1	CPXM1
CPXM	CPXM1
CPXM2	CPXM2
UNQ676	CPXM2
CPX2	CPXM2
CPZ	CPZ
CR1	CR1
CD35	CR1
KN	CR1
CR1L	CR1L
CR2	CR2
CD21	CR2
C3DR	CR2
CRABP1	CRABP1
CRABP	CRABP1
CRABP-I	CRABP1
CRABPI	CRABP1
RBP5	CRABP1
CRABP2	CRABP2
CRABP-II	CRABP2
CRACR2A	CRACR2A
MGC4266	CRACR2A
EFCAB4B	CRACR2A
CRACR2B	CRACR2B
MGC45840	CRACR2B
EFCAB4A	CRACR2B
CRADD	CRADD
RAIDD	CRADD
CRAMP1	CRAMP1
KIAA1426	CRAMP1
CRAMP1L	CRAMP1
CRAT	CRAT
CAT1	CRAT
CRB1	CRB1
LCA8	CRB1
RP12	CRB1
CRB2	CRB2
FLJ38464	CRB2
FLJ16786	CRB2
CRB3	CRB3
MGC17303	CRB3
CRBN	CRBN
MRT2	CRBN
MRT2A	CRBN
CRCP	CRCP
CGRP-RCP	CRCP
RCP	CRCP
RPC9	CRCP
CRCT1	CRCT1
NICE-1	CRCT1
C1orf42	CRCT1
CREB1	CREB1
CREB3	CREB3
LZIP	CREB3
Luman	CREB3
sLZIP	CREB3
CREB3L1	CREB3L1
OASIS	CREB3L1
CREB3L2	CREB3L2
BBF2H7	CREB3L2
TCAG_1951439	CREB3L2
CREB3L3	CREB3L3
CREB-H	CREB3L3
CREB3L4	CREB3L4
AIbZIP	CREB3L4
CREB4	CREB3L4
CREB3	CREB3L4
hJAL	CREB3L4
ATCE1	CREB3L4
CREB5	CREB5
H_GS165L15.1	CREB5
CRE-BPA	CREB5
CREBBP	CREBBP
RTS	CREBBP
CBP	CREBBP
KAT3A	CREBBP
RSTS	CREBBP
CREBL2	CREBL2
CREBRF	CREBRF
LRF	CREBRF
C5orf41	CREBRF
CREBZF	CREBZF
ZF	CREBZF
CREG1	CREG1
CREG	CREG1
CREG2	CREG2
CRELD1	CRELD1
AVSD2	CRELD1
CRELD2	CRELD2
MGC11256	CRELD2
CREM	CREM
hCREM-2	CREM
CRH	CRH
CRF	CRH
CRH1	CRH
CRHBP	CRHBP
CRF-BP	CRHBP
CRFBP	CRHBP
CRHR1	CRHR1
CRF-R	CRHR1
CRF1	CRHR1
CRHR	CRHR1
CRHR2	CRHR2
CRF2	CRHR2
CRF-RB	CRHR2
HM-CRF	CRHR2
CRIM1	CRIM1
S52	CRIM1
CRIP1	CRIP1
CRIP	CRIP1
CRIP2	CRIP2
CRP2	CRIP2
ESP1	CRIP2
CRIP3	CRIP3
TLP-A	CRIP3
bA480N24.2	CRIP3
TLP	CRIP3
CRIPT	CRIPT
HSPC139	CRIPT
CRISP1	CRISP1
CRISP-1	CRISP1
ARP	CRISP1
HUMARP	CRISP1
HSCRISP1D	CRISP1
HSCRISP1G	CRISP1
AEGL1	CRISP1
CRISP2	CRISP2
CRISP-2	CRISP2
CT36	CRISP2
GAPDL5	CRISP2
TPX1	CRISP2
CRISP3	CRISP3
SGP28	CRISP3
CRISP-3	CRISP3
CRS3	CRISP3
dJ442L6.3	CRISP3
Aeg2	CRISP3
CRISPLD1	CRISPLD1
Cocoacrisp	CRISPLD1
DKFZp762F133	CRISPLD1
LCRISP1	CRISPLD1
CRISPLD2	CRISPLD2
DKFZP434B044	CRISPLD2
LGL1	CRISPLD2
LCRISP2	CRISPLD2
CRK	CRK
CRKL	CRKL
