gene	sulem2015	saleheen2017	elgh	karcewski2019	deboever2018	any
A1BG	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
A1CF	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
A2M	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
A2ML1	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
A3GALT2	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
A4GALT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
A4GNT	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
AAAS	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AACS	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AADAC	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
AADACL2	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
AADACL3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AADACL4	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
AADAT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AAGAB	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AAK1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AAMDC	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
AAMP	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AANAT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AAR2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AARD	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
AARS	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AARS2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AARSD1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AASDH	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AASDHPPT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AASS	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AATF	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
AATK	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABAT	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA1	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
ABCA10	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE
ABCA12	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
ABCA2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ABCA4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
