ensg	n1tpm	medtpm
ENSG00000175449	8	0.5683
ENSG00000145757	10	0.41885
ENSG00000250240	5	0.2898
ENSG00000164292	52	22.3
ENSG00000173221	53	12.865
ENSG00000251348	6	0.405
ENSG00000251000	11	0.592
ENSG00000251409	1	0.17105
ENSG00000272021	7	0.2568
ENSG00000236882	25	0.89305
ENSG00000250362	0	0
ENSG00000118985	53	26.53
ENSG00000250955	0	0
ENSG00000213716	0	0
ENSG00000250551	0	0.06325
ENSG00000207578	0	0
ENSG00000206997	0	0
ENSG00000249746	2	0
ENSG00000250158	0	0
ENSG00000251314	0	0.06063
ENSG00000175426	21	0.54775
ENSG00000153113	53	60.22
ENSG00000238518	0	0
ENSG00000264129	0	0
ENSG00000249180	8	0.3605
ENSG00000164307	53	12.97
ENSG00000248734	40	2.371
ENSG00000272109	3	0.267
ENSG00000247121	47	1.9175
ENSG00000164308	51	5.286
ENSG00000113441	53	6.291
ENSG00000227836	0	0
ENSG00000200884	0	0
ENSG00000213701	0	0
ENSG00000251606	1	0
ENSG00000145721	16	0.05156
ENSG00000058729	53	7.5125
ENSG00000206698	0	0
ENSG00000251513	0	0
ENSG00000248758	0	0
ENSG00000251054	0	0
ENSG00000249761	0	0
ENSG00000251389	0	0
ENSG00000249977	0	0
ENSG00000250331	0	0
ENSG00000248931	0	0
ENSG00000251193	0	0
ENSG00000248202	1	0.081075
ENSG00000249101	0	0
ENSG00000248901	1	0
ENSG00000249135	0	0
ENSG00000238000	35	1.41
ENSG00000176183	0	0
ENSG00000250221	0	0
ENSG00000250830	0	0
ENSG00000249990	0	0
ENSG00000249448	0	0
ENSG00000251102	0	0.06367
ENSG00000223053	0	0
ENSG00000251553	0	0
ENSG00000174136	52	13.57
ENSG00000246763	17	0.63365
ENSG00000250162	0	0
ENSG00000153922	53	14.61
ENSG00000222610	0	0
ENSG00000248489	29	1.055
ENSG00000200351	0	0
ENSG00000241597	0	0.049755
ENSG00000249444	0	0
ENSG00000206356	1	0
ENSG00000227762	1	0
ENSG00000249515	1	0
ENSG00000248236	0	0
ENSG00000248928	0	0
ENSG00000250391	0	0
ENSG00000249963	0	0
ENSG00000199378	0	0
ENSG00000270232	0	0
ENSG00000270230	0	0.1308
ENSG00000271687	0	0
ENSG00000270906	2	0.5318
ENSG00000270350	0	0
ENSG00000271480	0	0
ENSG00000270388	0	0
ENSG00000270307	0	0.43725
ENSG00000270225	0	0.3143
ENSG00000271207	0	0.08738
ENSG00000207077	0	0
ENSG00000249787	1	0
ENSG00000247877	1	0
ENSG00000174132	53	26.325
ENSG00000250806	0	0
ENSG00000207269	0	0
ENSG00000113532	29	1.1285
ENSG00000221263	0	0
ENSG00000264318	0	0
ENSG00000251261	0	0
ENSG00000249495	0	0
ENSG00000199786	0	0
ENSG00000248261	0	0
ENSG00000173930	5	0.05162
ENSG00000222987	0	0
ENSG00000205359	1	0
ENSG00000249017	1	0
ENSG00000250958	0	0
ENSG00000247402	0	0
ENSG00000250682	0	0
ENSG00000145730	53	39.015
ENSG00000175749	4	0.2919
ENSG00000145723	52	3.358
ENSG00000145725	52	5.22
ENSG00000248203	1	0
ENSG00000181751	52	5.782
ENSG00000250567	0	0
ENSG00000226926	0	0
ENSG00000248757	0	0.08141
ENSG00000112874	52	7.151
ENSG00000251026	0	0
ENSG00000201910	0	0
ENSG00000239808	0	0
ENSG00000251574	1	0
ENSG00000252881	0	0
ENSG00000253776	1	0
ENSG00000253584	1	0
ENSG00000232159	0	0
ENSG00000201790	0	0
ENSG00000251204	0	0
ENSG00000250145	0	0
ENSG00000252337	0	0
ENSG00000251027	1	0
ENSG00000250273	0	0
ENSG00000184349	45	4.667
ENSG00000249959	0	0
ENSG00000248827	0	0
ENSG00000239708	0	0
ENSG00000251732	0	0
ENSG00000145743	53	7.354
ENSG00000244245	2	0.4709
ENSG00000272523	52	6.174
ENSG00000151422	50	4.542
ENSG00000249921	0	0
ENSG00000250383	0	0
ENSG00000207404	0	0
ENSG00000250441	0	0
ENSG00000206593	0	0
ENSG00000176857	0	0.08953
ENSG00000249476	8	0.4901
ENSG00000198961	53	71.175
ENSG00000248867	0	0
ENSG00000251367	0	0
ENSG00000248876	0	0
ENSG00000248440	0	0
ENSG00000214794	0	0
ENSG00000266090	0	0
ENSG00000271849	18	0.7262
ENSG00000112893	51	6.66
ENSG00000202512	1	0
ENSG00000249068	0	0.12125
ENSG00000254106	1	0
ENSG00000253224	0	0
ENSG00000186952	5	0.3301
ENSG00000221436	0	0
ENSG00000207177	0	0
ENSG00000164209	53	15.24
ENSG00000270779	0	0
ENSG00000248966	0	0.019525
ENSG00000248428	0	0
ENSG00000251627	0	0
ENSG00000145777	22	0.62115
ENSG00000253613	0	0
ENSG00000134987	53	8.6755
ENSG00000250728	0	0
ENSG00000214784	4	0.5571
ENSG00000152495	21	0.7004
ENSG00000249318	0	0
ENSG00000248268	0	0
ENSG00000164211	52	8.988
ENSG00000246859	38	1.5925
ENSG00000221310	0	0
ENSG00000249619	0	0
ENSG00000251099	0	0
ENSG00000134986	50	4.8035
ENSG00000253057	0	0
ENSG00000249439	0	0
ENSG00000250095	0	0
ENSG00000129595	48	2.775
ENSG00000224032	53	36.13
ENSG00000238363	22	0.83195
ENSG00000250882	0	0.0822
ENSG00000251187	1	0.078215
ENSG00000251076	2	0
ENSG00000248350	0	0
ENSG00000268358	31	1.07
ENSG00000248430	0	0
ENSG00000251014	0	0
ENSG00000250358	0	0
ENSG00000134982	53	7.965
ENSG00000250045	0	0
ENSG00000212370	0	0
ENSG00000153037	53	19.29
ENSG00000129625	53	84.23
ENSG00000249947	12	0.74425
ENSG00000212643	49	2.575
ENSG00000270067	51	2.919
ENSG00000272389	25	0.9713
ENSG00000266499	0	0
ENSG00000172795	53	7.955
ENSG00000171444	46	2.068
ENSG00000232633	1	0.07837
ENSG00000212122	1	0
ENSG00000251741	0	0
ENSG00000047188	53	18.06
ENSG00000251628	4	0
ENSG00000222706	0	0
ENSG00000080709	29	1.202
ENSG00000246316	0	0
ENSG00000251542	0	0
ENSG00000251132	0	0
ENSG00000250242	0	0
ENSG00000152503	23	0.7212
ENSG00000250472	0	0
ENSG00000249791	0	0.15475
ENSG00000248175	53	5.619
ENSG00000164219	53	9.479
ENSG00000271797	2	0.28445
ENSG00000243304	0	0.1931
ENSG00000164221	52	5.8165
ENSG00000250197	0	0
ENSG00000249026	0	0.02085
ENSG00000248722	0	0
ENSG00000249944	0	0
ENSG00000249433	0	0
ENSG00000250444	0	0.0303
ENSG00000145780	53	14.45
ENSG00000243414	53	3.836
ENSG00000249249	49	2.58
ENSG00000134970	53	39.105
ENSG00000249021	0	0
ENSG00000248709	1	0
ENSG00000251118	0	0
ENSG00000222598	0	0
ENSG00000129596	51	17.845
ENSG00000145782	53	15.135
ENSG00000177879	53	81.45
ENSG00000172901	12	0.25
ENSG00000248295	0	0
ENSG00000221778	0	0
ENSG00000220996	0	0
ENSG00000268223	0	0
ENSG00000185641	53	7.163
ENSG00000272265	6	0.3645
ENSG00000271918	52	2.7785
ENSG00000145781	53	12.54
ENSG00000212457	0	0
ENSG00000232916	0	0
ENSG00000250015	1	0.2117
ENSG00000092421	51	7.799
ENSG00000248445	29	1.0325
ENSG00000239528	17	0.8093
ENSG00000249167	1	0.2755
ENSG00000197575	0	0.1278
ENSG00000251311	0	0
ENSG00000249150	0	0
ENSG00000250650	0	0
ENSG00000250949	1	0
ENSG00000243758	0	0
ENSG00000248663	6	0
ENSG00000251477	0	0
ENSG00000249582	0	0
ENSG00000249797	1	0.163
ENSG00000250427	1	0.04994
ENSG00000250891	2	0.02986
ENSG00000249551	0	0
ENSG00000249128	0	0
ENSG00000238904	0	0
ENSG00000249426	0	0
ENSG00000169570	52	2.114
ENSG00000197744	50	3.4375
ENSG00000249494	1	0.09292
ENSG00000223179	0	0
ENSG00000250678	0	0.0503
ENSG00000250928	0	0
ENSG00000172869	53	8.667
ENSG00000239011	0	0
ENSG00000248885	0	0.05057
ENSG00000248979	3	0.1885
ENSG00000206786	0	0
ENSG00000264536	0	0
ENSG00000266587	0	0
ENSG00000145779	34	3.389
ENSG00000243333	0	0
ENSG00000202092	0	0
ENSG00000133835	53	68.895
ENSG00000239084	0	0
ENSG00000213663	0	0
ENSG00000249919	0	0
ENSG00000239067	0	0
ENSG00000164334	1	0.0445
ENSG00000250895	0	0
ENSG00000234259	0	0
ENSG00000251293	1	0
ENSG00000251975	0	0
ENSG00000261036	0	0
ENSG00000184838	47	3.1495
ENSG00000270741	0	0
ENSG00000222609	0	0
ENSG00000248927	11	0.391
ENSG00000251135	0	0
ENSG00000248853	0	0
ENSG00000250847	0	0
ENSG00000229855	0	0
ENSG00000244088	0	0
ENSG00000213661	0	0
ENSG00000249600	0	0
ENSG00000181867	1	0
ENSG00000151304	52	5.167
ENSG00000113083	41	4.712
ENSG00000247311	3	0
ENSG00000164185	1	0.2061
ENSG00000249610	1	0
ENSG00000250803	1	0
ENSG00000272139	0	0
ENSG00000064692	35	1.631
ENSG00000249621	1	0
ENSG00000249916	0	0
ENSG00000250328	4	0.02616
ENSG00000251538	1	0
ENSG00000240058	0	0
ENSG00000205302	53	43.12
ENSG00000212114	0	0
ENSG00000252295	0	0
ENSG00000260686	43	2.471
ENSG00000064652	52	6.99
ENSG00000239103	1	0
ENSG00000263432	33	1.573
ENSG00000168938	52	27.99
ENSG00000249996	2	0.2261
ENSG00000263654	0	0
ENSG00000223652	17	0.38295
ENSG00000061455	16	0.5066
ENSG00000213655	0	0
ENSG00000168944	53	9.1755
ENSG00000250539	33	1.326
ENSG00000249400	0	0
ENSG00000202105	0	0
ENSG00000151292	53	11.27
ENSG00000235275	0	0
ENSG00000250862	0	0
ENSG00000253807	2	0
ENSG00000251421	0	0
ENSG00000251662	0	0
ENSG00000248600	0	0
ENSG00000251214	0	0
ENSG00000250438	0	0
ENSG00000248296	0	0
ENSG00000168916	53	6.4815
ENSG00000249112	0	0
ENSG00000250206	1	0
ENSG00000250530	0	0
ENSG00000251274	0	0
ENSG00000251456	0	0
ENSG00000249643	0	0
ENSG00000242814	1	0.3582
ENSG00000248443	0	0
ENSG00000249261	1	0
ENSG00000249423	0	0
ENSG00000250411	1	0
ENSG00000250194	0	0
ENSG00000249365	0	0
ENSG00000248631	0	0
ENSG00000250721	0	0
ENSG00000222107	0	0
ENSG00000249932	0	0
ENSG00000248147	0	0
ENSG00000249677	0	0
ENSG00000250402	1	0
ENSG00000250269	0	0
ENSG00000251554	0	0
ENSG00000260192	0	0
ENSG00000249950	0	0
ENSG00000249904	0	0
ENSG00000241888	0	0
ENSG00000248752	1	0
ENSG00000248107	1	0
ENSG00000265637	0	0
ENSG00000155324	52	17.91
ENSG00000250602	6	0.3748
ENSG00000164904	52	24.01
ENSG00000200347	0	0
ENSG00000164902	53	14.915
ENSG00000230929	1	0.1667
ENSG00000196900	1	0
ENSG00000213630	1	0
ENSG00000249768	0	0
ENSG00000251072	1	0
ENSG00000252185	0	0
ENSG00000113368	50	2.855
ENSG00000173926	47	2.538
ENSG00000164241	39	1.3225
ENSG00000214743	0	0
ENSG00000250080	0	0
ENSG00000271585	0	0
ENSG00000250956	0	0
ENSG00000265104	0	0
ENSG00000145794	18	0.3485
ENSG00000249577	13	0.08094
ENSG00000271766	0	0
ENSG00000250859	0	0.15515
ENSG00000164244	53	12.64
ENSG00000205279	9	0.018695
ENSG00000248799	0	0
ENSG00000230561	2	0.2916
ENSG00000251032	0	0
ENSG00000250603	0	0
ENSG00000245937	52	6.983
ENSG00000064651	52	10.93
ENSG00000250329	0	0.06516
ENSG00000138829	12	0.2535
ENSG00000207290	0	0
ENSG00000248634	0	0
ENSG00000113396	23	0.6286
ENSG00000066583	53	20.845
ENSG00000264563	0	0
ENSG00000265691	0	0
ENSG00000249421	3	0.047735
ENSG00000145808	9	0.21655
ENSG00000251680	0	0
ENSG00000186367	0	0
ENSG00000198108	29	1.09
ENSG00000221562	0	0
ENSG00000199455	0	0
ENSG00000248610	2	0.071905
ENSG00000263954	0	0
ENSG00000252514	0	0
ENSG00000249312	0	0
ENSG00000249418	0	0
ENSG00000244192	0	0
ENSG00000250405	0	0
ENSG00000248955	0	0
ENSG00000169567	53	157.6
ENSG00000186687	53	7.368
ENSG00000158985	53	15.77
ENSG00000158987	53	5.784
ENSG00000217128	53	13.65
ENSG00000164398	17	0.4431
ENSG00000239642	1	0
ENSG00000234758	0	0
ENSG00000223548	11	0
ENSG00000231585	0	0
ENSG00000164399	0	0
ENSG00000164400	1	0
ENSG00000253067	0	0
ENSG00000227616	0	0
ENSG00000235775	0	0
ENSG00000224015	1	0
ENSG00000237714	1	0
ENSG00000072682	52	8.034
ENSG00000224431	3	0.3966
ENSG00000131435	51	17.375
ENSG00000197208	46	1.915
ENSG00000233006	50	2.824
ENSG00000263597	43	1.639
ENSG00000197375	53	10.99
ENSG00000197536	53	6.132
ENSG00000238160	3	0.046725
ENSG00000202533	32	1.597
ENSG00000234290	43	3.113
ENSG00000125347	53	14.26
ENSG00000113525	1	0.059905
ENSG00000113522	53	14.465
ENSG00000223442	1	0.1491
ENSG00000169194	1	0.06539
ENSG00000113520	1	0.07244
ENSG00000230612	1	0.1365
ENSG00000131437	51	6.119
ENSG00000205089	26	0.9857
ENSG00000164402	52	31.63
ENSG00000198944	25	0.8199
ENSG00000272203	3	0.1294
ENSG00000164403	53	10.445
ENSG00000201274	0	0
ENSG00000164404	11	0.6869
ENSG00000164405	53	148.2
ENSG00000164406	49	2.6565
ENSG00000072364	53	29.32
ENSG00000235253	0	0.06901
ENSG00000202417	0	0
ENSG00000225364	0	0
ENSG00000272023	1	0.1253
ENSG00000229738	0	0
ENSG00000199677	0	0
ENSG00000155329	53	11.605
ENSG00000248648	6	0.5961
ENSG00000170606	53	39.63
ENSG00000251616	2	0
ENSG00000248245	1	0
ENSG00000240611	0	0
ENSG00000053108	17	0.26555
ENSG00000249478	0	0
ENSG00000250244	4	0
ENSG00000250409	1	0
ENSG00000221287	0	0
ENSG00000263545	0	0
ENSG00000251243	0	0
ENSG00000238796	0	0
ENSG00000249073	0	0
ENSG00000113583	53	32.88
ENSG00000213585	53	100.2
ENSG00000271737	52	3.294
ENSG00000271128	0	0
ENSG00000081059	39	2.127
ENSG00000113558	53	52.57
ENSG00000113575	53	49.43
ENSG00000266751	0	0
ENSG00000270177	1	0.3584
ENSG00000239615	0	0
ENSG00000006837	41	2.0325
ENSG00000119048	53	52.72
ENSG00000248559	3	0.3819
ENSG00000237190	53	18.11
ENSG00000243648	1	0.09702
ENSG00000250564	0	0
ENSG00000250994	1	0
ENSG00000207222	0	0
ENSG00000251169	4	0.103
ENSG00000240250	0	0
ENSG00000043143	53	16.15
ENSG00000152700	53	14.82
ENSG00000207459	0	0
ENSG00000113615	53	10.39
ENSG00000201298	0	0
ENSG00000222266	0	0
ENSG00000164615	53	45.61
ENSG00000145833	53	25.7
ENSG00000241179	0	0
ENSG00000181904	53	19.18
ENSG00000270892	0	0
ENSG00000113621	53	29.49
ENSG00000132570	52	2.6835
ENSG00000244921	29	1.057
ENSG00000249119	49	2.081
ENSG00000248923	24	0.956
ENSG00000247627	53	10.75
ENSG00000198868	49	2.09
ENSG00000249192	0	0
ENSG00000152705	33	1.124
ENSG00000069011	24	0.6742
ENSG00000224186	49	4.971
ENSG00000249082	9	0.034415
ENSG00000248753	0	0
ENSG00000248482	1	0
ENSG00000249647	0	0
ENSG00000113648	53	21.235
ENSG00000270021	35	1.809
ENSG00000251380	0	0
ENSG00000255833	1	0.02128
ENSG00000249639	1	0
ENSG00000181965	0	0
ENSG00000250167	2	0.07122
ENSG00000145824	50	46.37
ENSG00000251045	0	0
ENSG00000238393	0	0
ENSG00000223539	0	0
ENSG00000263840	0	0
ENSG00000265924	0	0
ENSG00000264039	0	0
ENSG00000250378	4	0
ENSG00000145832	14	0.1358
ENSG00000145839	1	0
ENSG00000254239	2	0
ENSG00000253927	0	0
ENSG00000145826	2	0
ENSG00000164616	3	0.04847
ENSG00000120708	53	39.94
ENSG00000270123	0	0
ENSG00000164621	2	0.1172
ENSG00000113658	53	14.39
ENSG00000271824	10	0.06778
ENSG00000069018	1	0
ENSG00000248211	1	0
ENSG00000250947	0	0
ENSG00000248351	0	0
ENSG00000213568	0	0
ENSG00000249803	0	0
ENSG00000250284	4	0
ENSG00000248616	0	0
ENSG00000222285	0	0
ENSG00000152377	50	23.35
ENSG00000221612	0	0
ENSG00000146021	51	5.1825
ENSG00000216009	0	0
ENSG00000270237	30	1.2135
ENSG00000177733	53	101
ENSG00000270697	3	0.1138
ENSG00000226306	11	0.4373
ENSG00000250159	23	0.8145
ENSG00000120729	38	2.135
ENSG00000078795	1	0.1263
ENSG00000031003	53	16.84
ENSG00000266475	0	0
ENSG00000246323	1	0.1545
ENSG00000250260	0	0.05193
ENSG00000222924	0	0
ENSG00000061492	1	0
ENSG00000112981	42	3.071
ENSG00000212460	0	0
ENSG00000199880	0	0
ENSG00000112983	53	25.26
ENSG00000112984	11	0.2298
ENSG00000094880	53	16.51
ENSG00000146013	30	1.3365
ENSG00000249851	0	0
ENSG00000266285	0	0
ENSG00000158402	7	0.1089
ENSG00000120709	53	20.38
ENSG00000120733	53	32.52
ENSG00000132563	50	7.027
ENSG00000271196	0	0
ENSG00000120738	53	112.2
ENSG00000241458	0	0.1053
ENSG00000120705	53	57.6
ENSG00000197830	1	0.21385
ENSG00000232129	0	0
ENSG00000113013	53	117.1
ENSG00000222937	0	0
ENSG00000206989	0	0
ENSG00000044115	53	109
ENSG00000232174	0	0
ENSG00000238745	0	0
ENSG00000253404	6	0.3468
ENSG00000265361	0	0
ENSG00000146006	14	0.3123
ENSG00000120725	53	17.935
ENSG00000201532	0	0
ENSG00000249593	0	0.06747
ENSG00000242683	0	0
ENSG00000252533	0	0
ENSG00000015479	53	71.285
ENSG00000252213	0	0
ENSG00000200959	1	0
ENSG00000199545	0	0
ENSG00000253015	0	0
ENSG00000120727	53	51.76
ENSG00000170482	14	0.4871
ENSG00000170476	19	0.4609
ENSG00000228672	46	1.927
ENSG00000170469	53	2.918
ENSG00000170464	50	8.801
ENSG00000200378	0	0
ENSG00000249751	50	14.84
ENSG00000269071	2	0
ENSG00000184584	53	35.68
ENSG00000249689	0	0
ENSG00000249215	0	0
ENSG00000131508	53	54.635
ENSG00000207020	0	0
ENSG00000272255	6	0.1657
ENSG00000171604	53	28.5
ENSG00000250635	2	0.08493
ENSG00000249526	0	0
ENSG00000200756	0	0
ENSG00000249131	1	0
ENSG00000251387	1	0
ENSG00000271792	0	0
ENSG00000146005	17	0.3513
ENSG00000158458	43	2.449
ENSG00000250692	4	0.2579
ENSG00000207317	0	0
ENSG00000245146	40	1.54
ENSG00000185129	53	10.18
ENSG00000182700	53	27.17
ENSG00000254363	20	0.5959
ENSG00000120306	53	41.235
ENSG00000264890	0	0
ENSG00000250069	0	0.080275
ENSG00000113068	53	60.84
ENSG00000113070	53	13.655
ENSG00000253965	3	0
ENSG00000113073	3	0.1041
ENSG00000249637	30	1.0785
ENSG00000222790	0	0
ENSG00000131503	53	37.09
ENSG00000200051	0	0
ENSG00000213523	53	32.3
ENSG00000243056	53	51.97
ENSG00000113108	53	26.015
ENSG00000176087	53	49.02
ENSG00000200235	0	0
ENSG00000251453	0	0.05806
ENSG00000240518	0	0
ENSG00000170458	52	24.155
ENSG00000131495	53	46.85
ENSG00000113119	53	12.04
ENSG00000113141	53	98.64
ENSG00000264052	0	0
ENSG00000120314	53	18.75
ENSG00000170445	53	35.1
ENSG00000112855	53	34.58
ENSG00000146007	53	92.67
ENSG00000199990	0	0
ENSG00000202111	0	0
ENSG00000202515	1	0
ENSG00000250515	0	0
ENSG00000248106	0	0
ENSG00000204970	9	0.080285
ENSG00000204969	4	0.2263
ENSG00000255408	10	0.46485
ENSG00000204967	2	0.2606
ENSG00000204965	3	0.106215
ENSG00000081842	5	0.196
ENSG00000204963	3	0.1331
ENSG00000204962	2	0.03759
ENSG00000204961	1	0.01729
ENSG00000250120	8	0.3561
ENSG00000249034	2	0.08034
ENSG00000249158	5	0.1295
ENSG00000251664	4	0.1183
ENSG00000239389	3	0.1228
ENSG00000248383	0	0.12725
ENSG00000243232	13	0.39345
ENSG00000171815	0	0
ENSG00000112852	32	1.305
ENSG00000272154	1	0.2869
ENSG00000113205	21	0.8382
ENSG00000272108	11	0.59005
ENSG00000081818	44	3.786
ENSG00000113209	45	2.825
ENSG00000113211	32	1.2575
ENSG00000255622	1	0.19215
ENSG00000113212	34	1.222
ENSG00000120322	7	0.3545
ENSG00000196963	37	1.773
ENSG00000177839	21	0.7903
ENSG00000120324	40	2.1755
ENSG00000197479	21	0.7903
ENSG00000120328	26	0.96365
ENSG00000187372	33	1.625
ENSG00000120327	49	5.324
ENSG00000146001	15	0.5637
ENSG00000262096	4	0.28105
ENSG00000113248	48	3.589
ENSG00000120329	1	0.09095
ENSG00000178913	53	99.64
ENSG00000255729	0	0
ENSG00000272070	22	0.8898
ENSG00000204956	7	0.4555
ENSG00000081853	41	1.986
ENSG00000254245	38	1.708
ENSG00000254221	20	0.808
ENSG00000262576	38	1.637
ENSG00000253910	41	1.705
ENSG00000253485	34	1.436
ENSG00000262209	21	0.8148
ENSG00000253731	43	2.0825
ENSG00000253537	27	1.008
ENSG00000253953	31	1.324
ENSG00000253767	0	0.23895
ENSG00000261934	43	2.4265
ENSG00000253305	47	2.816
ENSG00000253846	41	1.761
ENSG00000254122	50	5.174
ENSG00000253873	39	1.405
ENSG00000248449	1	0.26865
ENSG00000253159	44	2.794
ENSG00000240184	52	24.12
ENSG00000242020	0	0
ENSG00000242419	17	0.6157
ENSG00000240764	31	1.317
ENSG00000131504	53	40.34
ENSG00000246422	1	0.031685
ENSG00000240974	0	0
ENSG00000228737	31	1.114
ENSG00000171720	53	55.555
ENSG00000164620	50	5.47
ENSG00000197948	53	13.39
ENSG00000120318	52	10.42
ENSG00000156453	50	13.46
ENSG00000226040	6	0.1725
ENSG00000081791	53	35.06
ENSG00000113555	49	3.208
ENSG00000271871	26	0.9156
ENSG00000013561	53	23.47
ENSG00000254099	0	0
ENSG00000113552	53	21.41
ENSG00000250347	0	0
ENSG00000131507	53	74.82
ENSG00000187678	52	10.38
ENSG00000231185	0	0.1037
ENSG00000252831	0	0
ENSG00000225147	0	0
ENSG00000113578	36	2.712
ENSG00000252968	0	0
ENSG00000261757	1	0.06698
ENSG00000236714	4	0.2416
ENSG00000145819	53	6.925
ENSG00000226272	1	0
ENSG00000230789	1	0
ENSG00000113580	53	15.82
ENSG00000231579	0	0.08807
ENSG00000249429	0	0
ENSG00000253023	0	0
ENSG00000251205	1	0
ENSG00000249881	0	0
ENSG00000266478	0	0
ENSG00000225869	0	0
ENSG00000158497	2	0
ENSG00000239390	0	0
ENSG00000145817	53	20.5
ENSG00000183775	9	0.1194
ENSG00000249605	0	0
ENSG00000250972	0	0
ENSG00000213488	0	0
ENSG00000201423	0	0
ENSG00000249229	0	0
ENSG00000221467	0	0
ENSG00000251031	0	0
ENSG00000215325	0	0.09262
ENSG00000250842	0	0.054545
ENSG00000248125	1	0
ENSG00000186314	21	0.8276
ENSG00000249363	0	0.1478
ENSG00000204928	1	0
ENSG00000156463	34	1.7865
ENSG00000248493	0	0
ENSG00000173261	30	1.134
ENSG00000251556	3	0.2444
ENSG00000133706	53	41.97
ENSG00000239602	0	0
ENSG00000239317	0	0
ENSG00000091009	53	9.753
ENSG00000238374	0	0
ENSG00000250025	0	0
ENSG00000091010	0	0.06264
ENSG00000271724	0	0
ENSG00000248842	0	0
ENSG00000113649	53	26.08
ENSG00000173250	0	0
ENSG00000250407	0	0
ENSG00000252793	3	0
ENSG00000156475	29	1.154
ENSG00000241291	0	0
ENSG00000248568	0	0.05574
ENSG00000265875	0	0
ENSG00000249553	1	0
ENSG00000250343	9	0.38305
ENSG00000169302	42	2.161
ENSG00000113657	51	42.79
ENSG00000272239	4	0.2613
ENSG00000176049	20	0.51975
ENSG00000164266	13	0.48145
ENSG00000249518	0	0
ENSG00000164265	3	0
ENSG00000178776	9	0.010665
ENSG00000248362	8	0
ENSG00000251320	8	0
ENSG00000250346	0	0
ENSG00000133710	15	0.5951
ENSG00000196800	0	0
ENSG00000178172	4	0
ENSG00000249503	0	0
ENSG00000248109	0	0
ENSG00000214510	4	0.10975
ENSG00000247199	7	0.48875
ENSG00000249834	0	0.11235
ENSG00000145879	4	0.1049
ENSG00000268126	0	0
ENSG00000204909	0	0.06676
ENSG00000145868	53	18.52
ENSG00000251330	0	0.4577
ENSG00000164270	3	0.04964
ENSG00000253297	0	0
ENSG00000169252	46	4.545
ENSG00000169247	14	0.47625
ENSG00000272411	0	0.1427
ENSG00000251842	0	0
ENSG00000207714	0	0
ENSG00000250072	1	0.02948
ENSG00000200161	0	0
ENSG00000173210	52	15.375
ENSG00000248647	0	0
ENSG00000253406	0	0.03403
ENSG00000157510	49	6.697
ENSG00000164284	53	6.6405
ENSG00000253618	1	0.1974
ENSG00000145882	52	9.941
ENSG00000127743	19	0.52995
ENSG00000253865	4	0.3236
ENSG00000249669	32	2.6105
ENSG00000253864	19	0.5145
ENSG00000208035	15	0
ENSG00000269936	51	35.71
ENSG00000113712	53	40.83
ENSG00000230551	0	0
ENSG00000241112	12	0.5122
ENSG00000183111	50	12.945
ENSG00000221135	0	0
ENSG00000222213	0	0
ENSG00000221043	0	0
ENSG00000242928	0	0
ENSG00000155846	40	2.2035
ENSG00000199047	0	0
ENSG00000132915	5	0.052955
ENSG00000251583	1	0.0372
ENSG00000200334	0	0
ENSG00000155850	51	5.865
ENSG00000164296	50	2.991
ENSG00000113716	53	26.12
ENSG00000248696	0	0
ENSG00000241907	6	0.4669
ENSG00000238369	26	0.9565
ENSG00000182578	51	12.86
ENSG00000214485	52	3.8615
ENSG00000199409	0	0
ENSG00000113721	53	43.96
ENSG00000113722	4	0.1559
ENSG00000011083	12	0.1094
ENSG00000070808	28	1.785
ENSG00000183876	22	0.8402
ENSG00000070814	53	20.8
ENSG00000019582	53	376.75
ENSG00000164587	53	525
ENSG00000254333	5	0.3938
ENSG00000070614	53	27.265
ENSG00000239191	0	0
ENSG00000171992	52	38.2
ENSG00000253852	0	0.050285
ENSG00000164591	24	0.9054
ENSG00000250309	0	0
ENSG00000086589	53	32.19
ENSG00000132912	53	25.68
ENSG00000256235	1	0.1607
ENSG00000237693	0	0.06017
ENSG00000145908	48	4.839
ENSG00000197083	46	3.134
ENSG00000211445	53	505.7
ENSG00000145901	53	57.485
ENSG00000197043	53	97.78
ENSG00000254298	2	0
ENSG00000198624	53	36.67
ENSG00000196743	53	21.6
ENSG00000186334	1	0
ENSG00000186335	4	0.027785
ENSG00000270904	1	0
ENSG00000253897	1	0
ENSG00000252270	0	0
ENSG00000253472	0	0
ENSG00000271494	0	0
ENSG00000123643	53	6.302
ENSG00000200227	0	0
ENSG00000086570	11	0.22525
ENSG00000271795	14	0.5867
ENSG00000260581	8	0.2832
ENSG00000113140	53	364.7
ENSG00000249035	1	0.09308
ENSG00000222102	0	0
ENSG00000272112	49	3.105
ENSG00000177556	53	12.04
ENSG00000253921	1	0.21765
ENSG00000213433	49	1.996
ENSG00000145907	53	22.27
ENSG00000145888	0	0.02059
ENSG00000270978	0	0
ENSG00000222308	0	0
ENSG00000254226	1	0.24005
ENSG00000132911	1	0.02389
ENSG00000242080	0	0
ENSG00000249484	1	0
ENSG00000155511	22	0.45925
ENSG00000242976	0	0
ENSG00000251183	0	0
ENSG00000261382	0	0
ENSG00000055147	53	7.013
ENSG00000037749	53	7.927
ENSG00000251710	0	0
ENSG00000164574	53	8.126
ENSG00000245275	11	0.6909
ENSG00000253119	0	0
ENSG00000221070	0	0
