drug	category
patiromer	Biomedical and Dental Materials
patiromer	Macromolecular Substances
patiromer	Manufactured Materials
patiromer	Potassium Binder
patiromer	Specialty Uses of Chemicals
patiromer	Technology, Industry, and Agriculture
mus musculus skin	Non-Standardized Animal Skin Allergenic Extract
betaxolol	Adrenergic Agents
betaxolol	Adrenergic Antagonists
betaxolol	Adrenergic beta-1 Receptor Antagonists
betaxolol	Adrenergic beta-Antagonists
betaxolol	Alcohols
betaxolol	Amines
betaxolol	Amino Alcohols
betaxolol	Antiarrhythmic agents
betaxolol	Antiglaucoma Preparations and Miotics
betaxolol	Antihypertensive Agents
betaxolol	Autonomic Agents
betaxolol	Beta Blocking Agents, Selective
betaxolol	Beta-adrenergic Agents
betaxolol	Beta-Blockers (Beta1 Selective)
betaxolol	Bradycardia-Causing Agents
betaxolol	Cardiovascular Agents
betaxolol	Cardiovascular System
betaxolol	Cytochrome P-450 CYP1A2 Substrates
betaxolol	Cytochrome P-450 Enzyme Inhibitors
betaxolol	Hypotensive Agents
betaxolol	Neurotransmitter Agents
betaxolol	Ophthalmologicals
betaxolol	Peripheral Nervous System Agents
betaxolol	Phenoxypropanolamines
betaxolol	Propanolamines
betaxolol	Propanols
betaxolol	Sensory Organs
betaxolol	Sympatholytics
anethole trithione	Alimentary Tract and Metabolism
anethole trithione	Anisoles
anethole trithione	Benzene Derivatives
anethole trithione	EENT Drugs, Miscellaneous
anethole trithione	Ethers
anethole trithione	Gastrointestinal Agents
anethole trithione	Hydrocarbons
anethole trithione	Hydrocarbons, Aromatic
anethole trithione	Hydrocarbons, Cyclic
anethole trithione	Methyl Ethers
anethole trithione	Phenols
anethole trithione	Phenyl Ethers
anethole trithione	Sulfur Compounds
anethole trithione	Thiones
anethole trithione	Various Alimentary Tract and Metabolism Products
human calcitonin	Anti-Parathyroid Agents
human calcitonin	Bone Density Conservation Agents
human calcitonin	Calcitonin Preparations
human calcitonin	Calcium Homeostasis
human calcitonin	Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins
desflurane	Anesthetics
desflurane	Anesthetics, General
desflurane	Anesthetics, Inhalation
desflurane	Central Nervous System Agents
desflurane	Central Nervous System Depressants
desflurane	Ethers
desflurane	Hydrocarbons, Halogenated
desflurane	Hypotensive Agents
desflurane	Methyl Ethers
desflurane	Nervous System
desflurane	Neuroprotective Agents
desflurane	Potential QTc-Prolonging Agents
desflurane	QTc Prolonging Agents
acetophenazine	Antipsychotic Agents
acetophenazine	Central Nervous System Depressants
acetophenazine	Dopamine Antagonists
acetophenazine	Dopamine D2 Receptor Antagonists
acetophenazine	Heterocyclic Compounds
acetophenazine	Heterocyclic Compounds, 3-Ring
acetophenazine	Nervous System
acetophenazine	Phenothiazines
acetophenazine	Phenothiazines With Piperazine Structure
acetophenazine	Psycholeptics
acetophenazine	Sulfur Compounds
metipranolol	Adrenergic Agents
metipranolol	Adrenergic Antagonists
metipranolol	Adrenergic beta-Antagonists
metipranolol	Alcohols
metipranolol	Amines
metipranolol	Amino Alcohols
metipranolol	Antiarrhythmic agents
metipranolol	Antiglaucoma Preparations and Miotics
metipranolol	Antihypertensive Agents
metipranolol	Autonomic Agents
metipranolol	Beta Blocking Agents and Thiazides
metipranolol	Beta Blocking Agents, Non-Selective, and Thiazides
metipranolol	Bradycardia-Causing Agents
metipranolol	Cardiovascular Agents
metipranolol	Cardiovascular System
metipranolol	Hypotensive Agents
metipranolol	Neurotransmitter Agents
metipranolol	Ophthalmologicals
metipranolol	Peripheral Nervous System Agents
metipranolol	Phenoxypropanolamines
metipranolol	Propanolamines
metipranolol	Propanols
metipranolol	Sensory Organs
metipranolol	Sympatholytics
nitrazepam	Anti-Anxiety Agents
nitrazepam	Anticonvulsants
nitrazepam	Benzazepines
nitrazepam	Benzodiazepine hypnotics and sedatives
nitrazepam	Benzodiazepines and benzodiazepine derivatives
nitrazepam	Benzodiazepinones
nitrazepam	Central Nervous System Agents
nitrazepam	Central Nervous System Depressants
nitrazepam	Cytochrome P-450 Enzyme Inhibitors
nitrazepam	GABA Agents
nitrazepam	GABA Modulators
nitrazepam	Heterocyclic Compounds
nitrazepam	Heterocyclic Compounds, 2-Ring
nitrazepam	Hypnotics and Sedatives
nitrazepam	Muscle Relaxants
nitrazepam	Muscle Relaxants, Centrally Acting Agents
nitrazepam	Nervous System
nitrazepam	Neurotransmitter Agents
nitrazepam	Psycholeptics
nitrazepam	Psychotropic Drugs
nitrazepam	Tranquilizing Agents
levoleucovorin	Antidotes
levoleucovorin	Biological Factors
levoleucovorin	Coenzymes
levoleucovorin	Detoxifying Agents for Antineoplastic Treatment
levoleucovorin	Diet, Food, and Nutrition
levoleucovorin	Enzymes and Coenzymes
levoleucovorin	Folic Acid
levoleucovorin	Food
levoleucovorin	Food and Beverages
levoleucovorin	Formyltetrahydrofolates
levoleucovorin	Growth Substances
levoleucovorin	Heterocyclic Compounds
levoleucovorin	Heterocyclic Compounds, 2-Ring
levoleucovorin	Leucovorin
levoleucovorin	Leucovorin Calcium-Levoleucovorin
levoleucovorin	Micronutrients
levoleucovorin	Physiological Phenomena
levoleucovorin	Pigments, Biological
levoleucovorin	Protective Agents
levoleucovorin	Pteridines
levoleucovorin	Pterins
levoleucovorin	Specialty Uses of Chemicals
levoleucovorin	Tetrahydrofolates
levoleucovorin	Vitamin B Complex
levoleucovorin	Vitamins
trastuzumab	Amino Acids, Peptides, and Proteins
trastuzumab	Antibodies
trastuzumab	Antibodies, Monoclonal
trastuzumab	Antibodies, Monoclonal, Humanized
trastuzumab	Antineoplastic Agents
trastuzumab	Antineoplastic and Immunomodulating Agents
trastuzumab	Blood Proteins
trastuzumab	Globulins
trastuzumab	Immunoglobulins
trastuzumab	Immunoproteins
trastuzumab	Proteins
trastuzumab	Serum Globulins
evolocumab	Amino Acids, Peptides, and Proteins
evolocumab	Antibodies
evolocumab	Blood Proteins
evolocumab	Cardiovascular System
evolocumab	Globulins
evolocumab	Immunoglobulins
evolocumab	Immunoproteins
evolocumab	Lipid Modifying Agents
evolocumab	Lipid Modifying Agents, Plain
evolocumab	PCSK9 Inhibitor
evolocumab	Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors
evolocumab	Proteins
evolocumab	Serum Globulins
olsalazine	Acids, Carbocyclic
olsalazine	Alimentary Tract and Metabolism
olsalazine	Aminosalicylate
olsalazine	Aminosalicylic Acid and Similar Agents
olsalazine	Analgesics
olsalazine	Analgesics, Non-Narcotic
olsalazine	Anti-Inflammatory Agents
olsalazine	Anti-Inflammatory Agents, Non-Steroidal
olsalazine	Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents
olsalazine	Benzene Derivatives
olsalazine	Benzoates
olsalazine	Carboxylic Acids
olsalazine	Central Nervous System Agents
olsalazine	Gastrointestinal Agents
olsalazine	Hydrocarbons
olsalazine	Hydrocarbons, Aromatic
olsalazine	Hydrocarbons, Cyclic
olsalazine	Hydroxy Acids
olsalazine	Hydroxybenzoates
olsalazine	Intestinal Antiinflammatory Agents
olsalazine	Peripheral Nervous System Agents
olsalazine	Phenols
olsalazine	Salicylates
olsalazine	Sensory System Agents
encainide	Amides
encainide	Anilides
encainide	Antiarrhythmic agents
encainide	Antiarrhythmics, Class I and III
encainide	Antiarrhythmics, Class Ic
encainide	Cardiac Therapy
encainide	Cardiovascular Agents
encainide	Cardiovascular System
encainide	Membrane Transport Modulators
encainide	Sodium Channel Blockers
encainide	Voltage-Gated Sodium Channel Blockers
samarium (153sm) lexidronam	Analgesics
samarium (153sm) lexidronam	Analgesics, Non-Narcotic
samarium (153sm) lexidronam	Central Nervous System Agents
samarium (153sm) lexidronam	Pain Palliation (Bone Seeking Agents)
samarium (153sm) lexidronam	Peripheral Nervous System Agents
samarium (153sm) lexidronam	Radioisotopes
samarium (153sm) lexidronam	Samarium
samarium (153sm) lexidronam	Sensory System Agents
samarium (153sm) lexidronam	Therapeutic Radiopharmaceuticals
samarium (153sm) lexidronam	Various Pain Palliation Radiopharmaceuticals
ecabet	Anti-Infective Agents
ecabet	Anti-Ulcer Agents
ecabet	Anticarcinogenic Agents
ecabet	Antineoplastic Agents
ecabet	Diterpenes
ecabet	Enzyme Inhibitors
ecabet	Gastrointestinal Agents
ecabet	Hydrocarbons
ecabet	Hydrocarbons, Aromatic
ecabet	Hydrocarbons, Cyclic
ecabet	Pepsin A, antagonists & inhibitors
ecabet	Phenanthrenes
ecabet	Polycyclic Compounds
ecabet	Polycyclic Hydrocarbons, Aromatic
ecabet	Protease Inhibitors
ecabet	Protective Agents
ecabet	Specialty Uses of Chemicals
ecabet	Terpenes
procainamide	Acids, Carbocyclic
procainamide	Amides
procainamide	Aminobenzoates
procainamide	Antiarrhythmic agents
procainamide	Antiarrhythmics, Class I and III
procainamide	Antiarrhythmics, Class Ia
procainamide	Benzamides and benzamide derivatives
procainamide	Benzene Derivatives
procainamide	Benzoates
procainamide	Carboxylic Acids
procainamide	Cardiac Therapy
procainamide	Cardiovascular Agents
procainamide	Cardiovascular System
procainamide	Class IA Antiarrythmics
procainamide	Highest Risk QTc-Prolonging Agents
procainamide	Hydrocarbons
procainamide	Hydrocarbons, Aromatic
procainamide	Hydrocarbons, Cyclic
